Instant,Date,Season,Year,Month,Hour,Holiday,Weekday,Workingday,Weathersit,Temp_F,Temp_C,Temp_Normalized,Feelslike_Temp_F,Feelslike_Temp_C,Feelslike_Temp_Normalized,Humidity,Windspeed,Not_Registered,Registered,Count
5651,8/28/11,3,0,8,21,0,0,0,1,80.708,27.06,0.66,87.908,31.06,0.6212,61,5.591158395,60,126,186
5652,8/28/11,3,0,8,22,0,0,0,1,79.232,26.24,0.64,86.549,30.305,0.6061,69,4.350529057,25,73,98
5653,8/28/11,3,0,8,23,0,0,0,1,77.756,25.42,0.62,85.181,29.545,0.5909,73,4.350529057,16,48,64
5654,8/29/11,3,0,8,0,0,1,1,1,77.756,25.42,0.62,85.181,29.545,0.5909,73,4.350529057,13,21,34
5655,8/29/11,3,0,8,1,0,1,1,1,76.28,24.6,0.6,85.181,29.545,0.5909,69,4.350529057,5,15,20
5656,8/29/11,3,0,8,2,0,1,1,1,76.28,24.6,0.6,85.181,29.545,0.5909,69,8.076580258,8,5,13
5657,8/29/11,3,0,8,3,0,1,1,1,76.28,24.6,0.6,85.181,29.545,0.5909,69,4.350529057,1,5,6
5658,8/29/11,3,0,8,4,0,1,1,1,73.328,22.96,0.56,79.727,26.515,0.5303,68,5.591158395,0,3,3
5659,8/29/11,3,0,8,5,0,1,1,1,73.328,22.96,0.56,79.727,26.515,0.5303,73,5.591158395,0,17,17
5660,8/29/11,3,0,8,6,0,1,1,1,73.328,22.96,0.56,79.727,26.515,0.5303,73,5.591158395,3,99,102
5661,8/29/11,3,0,8,7,0,1,1,1,76.28,24.6,0.6,86.549,30.305,0.6061,60,9.321372782,11,273,284
5662,8/29/11,3,0,8,8,0,1,1,1,77.756,25.42,0.62,87.908,31.06,0.6212,57,10.56200212,20,384,404
5663,8/29/11,3,0,8,9,0,1,1,1,77.756,25.42,0.62,87.908,31.06,0.6212,53,10.56200212,22,166,188
5664,8/29/11,3,0,8,10,0,1,1,1,80.708,27.06,0.66,87.908,31.06,0.6212,47,9.321372782,42,73,115
5665,8/29/11,3,0,8,11,0,1,1,1,80.708,27.06,0.66,87.908,31.06,0.6212,47,6.835950919,38,100,138
5666,8/29/11,3,0,8,12,0,1,1,2,82.184,27.88,0.68,89.276,31.82,0.6364,44,6.835950919,48,159,207
5667,8/29/11,3,0,8,13,0,1,1,2,83.66,28.7,0.7,89.276,31.82,0.6364,39,0,48,170,218
5668,8/29/11,3,0,8,14,0,1,1,1,83.66,28.7,0.7,89.276,31.82,0.6364,42,0,55,127,182
5669,8/29/11,3,0,8,15,0,1,1,1,83.66,28.7,0.7,89.276,31.82,0.6364,42,6.835950919,56,164,220
5670,8/29/11,3,0,8,16,0,1,1,1,85.136,29.52,0.72,90.635,32.575,0.6515,42,6.835950919,56,226,282
5671,8/29/11,3,0,8,17,0,1,1,2,83.66,28.7,0.7,89.276,31.82,0.6364,47,9.321372782,67,524,591
5672,8/29/11,3,0,8,18,0,1,1,1,80.708,27.06,0.66,87.908,31.06,0.6212,47,10.56200212,60,487,547
5673,8/29/11,3,0,8,19,0,1,1,1,80.708,27.06,0.66,87.908,31.06,0.6212,47,10.56200212,50,317,367
5674,8/29/11,3,0,8,20,0,1,1,1,79.232,26.24,0.64,87.908,31.06,0.6212,53,6.835950919,50,227,277
5675,8/29/11,3,0,8,21,0,1,1,1,79.232,26.24,0.64,87.908,31.06,0.6212,53,8.076580258,34,168,202
5676,8/29/11,3,0,8,22,0,1,1,1,77.756,25.42,0.62,87.908,31.06,0.6212,57,5.591158395,23,119,142
5677,8/29/11,3,0,8,23,0,1,1,1,76.28,24.6,0.6,86.549,30.305,0.6061,60,3.730214387,19,56,75
5678,8/30/11,3,0,8,0,0,2,1,1,73.328,22.96,0.56,79.727,26.515,0.5303,73,5.591158395,10,17,27
5679,8/30/11,3,0,8,1,0,2,1,1,73.328,22.96,0.56,79.727,26.515,0.5303,68,4.350529057,6,7,13
5680,8/30/11,3,0,8,2,0,2,1,1,71.852,22.14,0.54,78.368,25.76,0.5152,73,4.350529057,2,8,10
5681,8/30/11,3,0,8,3,0,2,1,1,71.852,22.14,0.54,78.368,25.76,0.5152,73,8.076580258,2,2,4
5682,8/30/11,3,0,8,4,0,2,1,1,70.376,21.32,0.52,77,25,0.5,77,6.835950919,0,6,6
5683,8/30/11,3,0,8,5,0,2,1,1,70.376,21.32,0.52,77,25,0.5,77,3.730214387,1,27,28
5684,8/30/11,3,0,8,6,0,2,1,1,71.852,22.14,0.54,78.368,25.76,0.5152,73,4.350529057,4,115,119
5685,8/30/11,3,0,8,7,0,2,1,1,73.328,22.96,0.56,79.727,26.515,0.5303,68,5.591158395,19,338,357
5686,8/30/11,3,0,8,8,0,2,1,1,77.756,25.42,0.62,87.908,31.06,0.6212,57,5.591158395,34,459,493
5687,8/30/11,3,0,8,9,0,2,1,1,80.708,27.06,0.66,87.908,31.06,0.6212,50,9.321372782,38,180,218
5688,8/30/11,3,0,8,10,0,2,1,1,83.66,28.7,0.7,89.276,31.82,0.6364,39,9.321372782,28,109,137
5689,8/30/11,3,0,8,11,0,2,1,1,85.136,29.52,0.72,90.635,32.575,0.6515,37,8.076580258,60,115,175
5690,8/30/11,3,0,8,12,0,2,1,1,85.136,29.52,0.72,90.635,32.575,0.6515,37,0,65,172,237
5691,8/30/11,3,0,8,13,0,2,1,1,86.612,30.34,0.74,90.635,32.575,0.6515,35,4.350529057,59,170,229
5692,8/30/11,3,0,8,14,0,2,1,1,86.612,30.34,0.74,90.635,32.575,0.6515,33,6.835950919,58,151,209
5693,8/30/11,3,0,8,15,0,2,1,1,86.612,30.34,0.74,90.635,32.575,0.6515,35,9.321372782,34,162,196
5694,8/30/11,3,0,8,16,0,2,1,1,86.612,30.34,0.74,90.635,32.575,0.6515,37,6.835950919,42,295,337
5695,8/30/11,3,0,8,17,0,2,1,1,85.136,29.52,0.72,90.635,32.575,0.6515,42,8.076580258,62,549,611
5696,8/30/11,3,0,8,18,0,2,1,1,83.66,28.7,0.7,89.276,31.82,0.6364,45,6.835950919,60,516,576
5697,8/30/11,3,0,8,19,0,2,1,1,80.708,27.06,0.66,87.908,31.06,0.6212,50,3.730214387,68,397,465
5698,8/30/11,3,0,8,20,0,2,1,1,80.708,27.06,0.66,87.908,31.06,0.6212,50,0,39,259,298
5699,8/30/11,3,0,8,21,0,2,1,1,79.232,26.24,0.64,86.549,30.305,0.6061,65,3.730214387,43,180,223
5700,8/30/11,3,0,8,22,0,2,1,1,77.756,25.42,0.62,86.549,30.305,0.6061,61,0,22,121,143
5701,8/30/11,3,0,8,23,0,2,1,1,77.756,25.42,0.62,86.549,30.305,0.6061,61,0,19,74,93
5702,8/31/11,3,0,8,0,0,3,1,1,76.28,24.6,0.6,85.181,29.545,0.5909,69,0,8,24,32
5703,8/31/11,3,0,8,1,0,3,1,1,76.28,24.6,0.6,85.181,29.545,0.5909,69,0,2,13,15
5704,8/31/11,3,0,8,2,0,3,1,1,73.328,22.96,0.56,79.727,26.515,0.5303,73,0,1,5,6
5705,8/31/11,3,0,8,3,0,3,1,1,73.328,22.96,0.56,79.727,26.515,0.5303,78,0,2,4,6
5706,8/31/11,3,0,8,4,0,3,1,1,73.328,22.96,0.56,79.727,26.515,0.5303,73,0,0,5,5
5707,8/31/11,3,0,8,5,0,3,1,1,71.852,22.14,0.54,78.368,25.76,0.5152,83,3.730214387,2,25,27
5708,8/31/11,3,0,8,6,0,3,1,1,71.852,22.14,0.54,78.368,25.76,0.5152,77,0,4,107,111
5709,8/31/11,3,0,8,7,0,3,1,1,76.28,24.6,0.6,83.822,28.79,0.5758,78,0,12,316,328
5710,8/31/11,3,0,8,8,0,3,1,1,77.756,25.42,0.62,86.549,30.305,0.6061,69,0,27,440,467
5711,8/31/11,3,0,8,9,0,3,1,1,79.232,26.24,0.64,86.549,30.305,0.6061,69,3.730214387,27,217,244
5712,8/31/11,3,0,8,10,0,3,1,1,83.66,28.7,0.7,89.276,31.82,0.6364,45,4.350529057,33,105,138
5713,8/31/11,3,0,8,11,0,3,1,1,85.136,29.52,0.72,90.635,32.575,0.6515,42,5.591158395,28,143,171
5714,8/31/11,3,0,8,12,0,3,1,1,86.612,30.34,0.74,92.003,33.335,0.6667,43,5.591158395,68,192,260
5715,8/31/11,3,0,8,13,0,3,1,1,86.612,30.34,0.74,90.635,32.575,0.6515,37,4.350529057,39,182,221
5716,8/31/11,3,0,8,14,0,3,1,1,86.612,30.34,0.74,90.635,32.575,0.6515,40,5.591158395,48,148,196
5717,8/31/11,3,0,8,15,0,3,1,1,86.612,30.34,0.74,90.635,32.575,0.6515,40,5.591158395,34,138,172
5718,8/31/11,3,0,8,16,0,3,1,1,86.612,30.34,0.74,92.003,33.335,0.6667,42,5.591158395,46,263,309
5719,8/31/11,3,0,8,17,0,3,1,1,85.136,29.52,0.72,90.635,32.575,0.6515,45,5.591158395,83,525,608
5720,8/31/11,3,0,8,18,0,3,1,1,83.66,28.7,0.7,90.635,32.575,0.6515,51,9.321372782,70,495,565
5721,8/31/11,3,0,8,19,0,3,1,1,93.992,34.44,0.84,101.543,38.635,0.7727,47,10.56200212,53,393,446
5722,8/31/11,3,0,8,20,0,3,1,1,80.708,27.06,0.66,87.908,31.06,0.6212,57,5.591158395,30,259,289
5723,8/31/11,3,0,8,21,0,3,1,1,80.708,27.06,0.66,87.908,31.06,0.6212,61,3.730214387,27,174,201
5724,8/31/11,3,0,8,22,0,3,1,1,79.232,26.24,0.64,86.549,30.305,0.6061,69,0,20,137,157
5725,8/31/11,3,0,8,23,0,3,1,1,76.28,24.6,0.6,83.822,28.79,0.5758,78,4.350529057,24,60,84
5726,9/1/11,3,0,9,0,0,4,1,1,76.28,24.6,0.6,83.822,28.79,0.5758,78,4.350529057,18,33,51
5727,9/1/11,3,0,9,1,0,4,1,1,76.28,24.6,0.6,85.181,29.545,0.5909,73,3.730214387,7,14,21
5728,9/1/11,3,0,9,2,0,4,1,1,74.804,23.78,0.58,81.095,27.275,0.5455,78,3.730214387,14,11,25
5729,9/1/11,3,0,9,3,0,4,1,1,74.804,23.78,0.58,81.095,27.275,0.5455,78,3.730214387,7,7,14
5730,9/1/11,3,0,9,4,0,4,1,1,73.328,22.96,0.56,79.727,26.515,0.5303,83,3.730214387,0,7,7
5731,9/1/11,3,0,9,5,0,4,1,1,73.328,22.96,0.56,79.727,26.515,0.5303,73,3.730214387,1,22,23
5732,9/1/11,3,0,9,6,0,4,1,1,76.28,24.6,0.6,83.822,28.79,0.5758,78,0,2,103,105
5733,9/1/11,3,0,9,7,0,4,1,1,76.28,24.6,0.6,83.822,28.79,0.5758,78,0,7,335,342
5734,9/1/11,3,0,9,8,0,4,1,1,77.756,25.42,0.62,85.181,29.545,0.5909,73,5.591158395,31,467,498
5735,9/1/11,3,0,9,9,0,4,1,1,79.232,26.24,0.64,86.549,30.305,0.6061,69,4.350529057,29,178,207
5736,9/1/11,3,0,9,10,0,4,1,1,82.184,27.88,0.68,89.276,31.82,0.6364,61,5.591158395,46,92,138
5737,9/1/11,3,0,9,11,0,4,1,1,85.136,29.52,0.72,92.003,33.335,0.6667,51,5.591158395,51,141,192
5738,9/1/11,3,0,9,12,0,4,1,2,85.136,29.52,0.72,92.003,33.335,0.6667,51,5.591158395,64,165,229
5739,9/1/11,3,0,9,13,0,4,1,2,85.136,29.52,0.72,92.003,33.335,0.6667,48,3.730214387,50,169,219
5740,9/1/11,3,0,9,14,0,4,1,3,85.136,29.52,0.72,92.003,33.335,0.6667,54,10.56200212,54,144,198
5741,9/1/11,3,0,9,15,0,4,1,1,85.136,29.52,0.72,92.003,33.335,0.6667,51,5.591158395,39,135,174
5742,9/1/11,3,0,9,16,0,4,1,1,86.612,30.34,0.74,92.003,33.335,0.6667,51,8.076580258,55,253,308
5743,9/1/11,3,0,9,17,0,4,1,1,85.136,29.52,0.72,92.003,33.335,0.6667,54,10.56200212,61,567,628
5744,9/1/11,3,0,9,18,0,4,1,1,85.136,29.52,0.72,92.003,33.335,0.6667,54,9.321372782,69,462,531
5745,9/1/11,3,0,9,19,0,4,1,1,83.66,28.7,0.7,90.635,32.575,0.6515,58,6.835950919,79,364,443
5746,9/1/11,3,0,9,20,0,4,1,1,80.708,27.06,0.66,87.908,31.06,0.6212,61,9.321372782,33,247,280
5747,9/1/11,3,0,9,21,0,4,1,2,80.708,27.06,0.66,87.908,31.06,0.6212,57,8.076580258,17,160,177
5748,9/1/11,3,0,9,22,0,4,1,2,80.708,27.06,0.66,87.908,31.06,0.6212,57,9.321372782,34,145,179
5749,9/1/11,3,0,9,23,0,4,1,1,79.232,26.24,0.64,86.549,30.305,0.6061,65,10.56200212,15,111,126
5750,9/2/11,3,0,9,0,0,5,1,1,79.232,26.24,0.64,86.549,30.305,0.6061,65,8.076580258,6,58,64
5751,9/2/11,3,0,9,1,0,5,1,3,77.756,25.42,0.62,85.181,29.545,0.5909,73,4.350529057,4,28,32
5752,9/2/11,3,0,9,2,0,5,1,3,77.756,25.42,0.62,85.181,29.545,0.5909,73,4.350529057,9,11,20
5753,9/2/11,3,0,9,3,0,5,1,2,76.28,24.6,0.6,82.454,28.03,0.5606,83,6.835950919,4,4,8
5754,9/2/11,3,0,9,4,0,5,1,1,76.28,24.6,0.6,82.454,28.03,0.5606,83,3.730214387,2,2,4
5755,9/2/11,3,0,9,5,0,5,1,2,76.28,24.6,0.6,82.454,28.03,0.5606,83,5.591158395,0,20,20
5756,9/2/11,3,0,9,6,0,5,1,1,76.28,24.6,0.6,82.454,28.03,0.5606,83,5.591158395,3,73,76
5757,9/2/11,3,0,9,7,0,5,1,1,76.28,24.6,0.6,82.454,28.03,0.5606,83,4.350529057,6,253,259
5758,9/2/11,3,0,9,8,0,5,1,1,77.756,25.42,0.62,85.181,29.545,0.5909,78,8.076580258,22,434,456
5759,9/2/11,3,0,9,9,0,5,1,2,77.756,25.42,0.62,83.822,28.79,0.5758,83,4.350529057,30,190,220
5760,9/2/11,3,0,9,10,0,5,1,2,79.232,26.24,0.64,86.549,30.305,0.6061,76,6.835950919,34,106,140
5761,9/2/11,3,0,9,11,0,5,1,2,80.708,27.06,0.66,87.908,31.06,0.6212,74,4.350529057,51,141,192
5762,9/2/11,3,0,9,12,0,5,1,2,80.708,27.06,0.66,87.908,31.06,0.6212,69,9.321372782,82,178,260
5763,9/2/11,3,0,9,13,0,5,1,2,82.184,27.88,0.68,89.276,31.82,0.6364,65,5.591158395,72,207,279
5764,9/2/11,3,0,9,14,0,5,1,2,83.66,28.7,0.7,90.635,32.575,0.6515,61,4.350529057,75,208,283
5765,9/2/11,3,0,9,15,0,5,1,2,83.66,28.7,0.7,90.635,32.575,0.6515,61,10.56200212,69,277,346
5766,9/2/11,3,0,9,16,0,5,1,2,83.66,28.7,0.7,90.635,32.575,0.6515,61,5.591158395,82,299,381
5767,9/2/11,3,0,9,17,0,5,1,2,82.184,27.88,0.68,89.276,31.82,0.6364,65,6.835950919,78,377,455
5768,9/2/11,3,0,9,18,0,5,1,2,82.184,27.88,0.68,89.276,31.82,0.6364,65,8.076580258,50,305,355
5769,9/2/11,3,0,9,19,0,5,1,1,80.708,27.06,0.66,87.908,31.06,0.6212,69,5.591158395,67,220,287
5770,9/2/11,3,0,9,20,0,5,1,1,79.232,26.24,0.64,86.549,30.305,0.6061,73,0,38,158,196
5771,9/2/11,3,0,9,21,0,5,1,2,79.232,26.24,0.64,86.549,30.305,0.6061,73,3.730214387,28,121,149
5772,9/2/11,3,0,9,22,0,5,1,2,79.232,26.24,0.64,86.549,30.305,0.6061,73,6.835950919,33,114,147
5773,9/2/11,3,0,9,23,0,5,1,2,79.232,26.24,0.64,86.549,30.305,0.6061,73,6.835950919,30,68,98
5774,9/3/11,3,0,9,0,0,6,0,2,79.232,26.24,0.64,86.549,30.305,0.6061,73,4.350529057,22,65,87
5775,9/3/11,3,0,9,1,0,6,0,2,79.232,26.24,0.64,86.549,30.305,0.6061,69,10.56200212,17,57,74
5776,9/3/11,3,0,9,2,0,6,0,2,79.232,26.24,0.64,86.549,30.305,0.6061,69,9.321372782,15,26,41
5777,9/3/11,3,0,9,3,0,6,0,1,77.756,25.42,0.62,85.181,29.545,0.5909,73,6.835950919,17,18,35
5778,9/3/11,3,0,9,4,0,6,0,1,77.756,25.42,0.62,85.181,29.545,0.5909,73,6.835950919,3,4,7
5779,9/3/11,3,0,9,5,0,6,0,1,77.756,25.42,0.62,86.549,30.305,0.6061,69,8.076580258,3,9,12
5780,9/3/11,3,0,9,6,0,6,0,1,77.756,25.42,0.62,85.181,29.545,0.5909,73,6.835950919,4,19,23
5781,9/3/11,3,0,9,7,0,6,0,1,77.756,25.42,0.62,85.181,29.545,0.5909,73,8.076580258,5,33,38
5782,9/3/11,3,0,9,8,0,6,0,1,79.232,26.24,0.64,86.549,30.305,0.6061,69,6.835950919,24,65,89
5783,9/3/11,3,0,9,9,0,6,0,2,80.708,27.06,0.66,87.908,31.06,0.6212,69,10.56200212,83,118,201
5784,9/3/11,3,0,9,10,0,6,0,3,80.708,27.06,0.66,87.908,31.06,0.6212,65,10.56200212,90,168,258
5785,9/3/11,3,0,9,11,0,6,0,3,80.708,27.06,0.66,87.908,31.06,0.6212,69,11.80679465,66,128,194
5786,9/3/11,3,0,9,12,0,6,0,1,83.66,28.7,0.7,90.635,32.575,0.6515,61,9.321372782,97,160,257
5787,9/3/11,3,0,9,13,0,6,0,1,83.66,28.7,0.7,90.635,32.575,0.6515,65,9.321372782,153,200,353
5788,9/3/11,3,0,9,14,0,6,0,2,85.136,29.52,0.72,93.362,34.09,0.6818,66,6.835950919,204,176,380
5789,9/3/11,3,0,9,15,0,6,0,1,85.136,29.52,0.72,93.362,34.09,0.6818,70,6.835950919,187,201,388
5790,9/3/11,3,0,9,16,0,6,0,1,85.136,29.52,0.72,93.362,34.09,0.6818,70,8.076580258,186,188,374
5791,9/3/11,3,0,9,17,0,6,0,1,85.136,29.52,0.72,93.362,34.09,0.6818,70,9.321372782,170,201,371
5792,9/3/11,3,0,9,18,0,6,0,1,85.136,29.52,0.72,93.362,34.09,0.6818,70,6.835950919,160,179,339
5793,9/3/11,3,0,9,19,0,6,0,1,83.66,28.7,0.7,92.003,33.335,0.6667,74,5.591158395,147,148,295
5794,9/3/11,3,0,9,20,0,6,0,1,83.66,28.7,0.7,92.003,33.335,0.6667,79,6.835950919,99,120,219
5795,9/3/11,3,0,9,21,0,6,0,1,82.184,27.88,0.68,89.276,31.82,0.6364,83,5.591158395,71,93,164
5796,9/3/11,3,0,9,22,0,6,0,1,82.184,27.88,0.68,89.276,31.82,0.6364,83,4.350529057,66,96,162
5797,9/3/11,3,0,9,23,0,6,0,1,80.708,27.06,0.66,87.908,31.06,0.6212,85,5.591158395,46,77,123
5798,9/4/11,3,0,9,0,0,0,0,1,80.708,27.06,0.66,85.181,29.545,0.5909,89,8.076580258,33,76,109
5799,9/4/11,3,0,9,1,0,0,0,1,80.708,27.06,0.66,86.549,30.305,0.6061,83,5.591158395,37,38,75
5800,9/4/11,3,0,9,2,0,0,0,1,80.708,27.06,0.66,86.549,30.305,0.6061,83,8.076580258,17,43,60
5801,9/4/11,3,0,9,3,0,0,0,1,79.232,26.24,0.64,83.822,28.79,0.5758,89,8.076580258,20,23,43
5802,9/4/11,3,0,9,4,0,0,0,1,79.232,26.24,0.64,83.822,28.79,0.5758,83,6.835950919,0,4,4
5803,9/4/11,3,0,9,5,0,0,0,1,79.232,26.24,0.64,83.822,28.79,0.5758,83,5.591158395,1,5,6
5804,9/4/11,3,0,9,6,0,0,0,1,79.232,26.24,0.64,83.822,28.79,0.5758,84,9.321372782,0,3,3
5805,9/4/11,3,0,9,7,0,0,0,1,80.708,27.06,0.66,86.549,30.305,0.6061,78,8.076580258,10,20,30
5806,9/4/11,3,0,9,8,0,0,0,1,80.708,27.06,0.66,86.549,30.305,0.6061,78,6.835950919,21,49,70
5807,9/4/11,3,0,9,9,0,0,0,1,80.708,27.06,0.66,86.549,30.305,0.6061,78,6.835950919,87,102,189
5808,9/4/11,3,0,9,10,0,0,0,1,83.66,28.7,0.7,92.003,33.335,0.6667,74,5.591158395,150,147,297
5809,9/4/11,3,0,9,11,0,0,0,1,86.612,30.34,0.74,94.73,34.85,0.697,70,6.835950919,174,163,337
5810,9/4/11,3,0,9,12,0,0,0,1,88.088,31.16,0.76,97.457,36.365,0.7273,66,6.835950919,214,221,435
5811,9/4/11,3,0,9,13,0,0,0,2,89.564,31.98,0.78,98.816,37.12,0.7424,62,11.80679465,245,174,419
5812,9/4/11,3,0,9,14,0,0,0,1,89.564,31.98,0.78,100.184,37.88,0.7576,66,13.67190184,205,156,361
5813,9/4/11,3,0,9,15,0,0,0,1,89.564,31.98,0.78,100.184,37.88,0.7576,66,11.80679465,218,192,410
5814,9/4/11,3,0,9,16,0,0,0,1,91.04,32.8,0.8,101.543,38.635,0.7727,59,9.321372782,196,141,337
5815,9/4/11,3,0,9,17,0,0,0,1,88.088,31.16,0.76,97.457,36.365,0.7273,66,9.321372782,204,172,376
5816,9/4/11,3,0,9,18,0,0,0,1,88.088,31.16,0.76,97.457,36.365,0.7273,66,8.076580258,187,169,356
5817,9/4/11,3,0,9,19,0,0,0,1,86.612,30.34,0.74,94.73,34.85,0.697,70,8.076580258,178,150,328
5818,9/4/11,3,0,9,20,0,0,0,1,86.612,30.34,0.74,94.73,34.85,0.697,70,12.42710931,104,125,229
5819,9/4/11,3,0,9,21,0,0,0,1,85.136,29.52,0.72,94.73,34.85,0.697,74,10.56200212,104,103,207
5820,9/4/11,3,0,9,22,0,0,0,2,85.136,29.52,0.72,94.73,34.85,0.697,74,11.80679465,70,85,155
5821,9/4/11,3,0,9,23,0,0,0,2,85.136,29.52,0.72,93.362,34.09,0.6818,70,6.835950919,46,58,104
5822,9/5/11,3,0,9,0,1,1,0,2,83.66,28.7,0.7,92.003,33.335,0.6667,74,9.321372782,31,66,97
5823,9/5/11,3,0,9,1,1,1,0,2,82.184,27.88,0.68,89.276,31.82,0.6364,79,4.350529057,19,35,54
5824,9/5/11,3,0,9,2,1,1,0,2,82.184,27.88,0.68,89.276,31.82,0.6364,79,6.835950919,17,22,39
5825,9/5/11,3,0,9,3,1,1,0,2,82.184,27.88,0.68,89.276,31.82,0.6364,74,12.42710931,4,12,16
5826,9/5/11,3,0,9,4,1,1,0,2,82.184,27.88,0.68,89.276,31.82,0.6364,69,11.80679465,3,5,8
5827,9/5/11,3,0,9,5,1,1,0,2,80.708,27.06,0.66,87.908,31.06,0.6212,74,6.835950919,2,4,6
5828,9/5/11,3,0,9,6,1,1,0,2,80.708,27.06,0.66,87.908,31.06,0.6212,74,5.591158395,6,5,11
5829,9/5/11,3,0,9,7,1,1,0,1,80.708,27.06,0.66,87.908,31.06,0.6212,74,6.835950919,11,30,41
5830,9/5/11,3,0,9,8,1,1,0,2,80.708,27.06,0.66,86.549,30.305,0.6061,78,8.076580258,45,56,101
5831,9/5/11,3,0,9,9,1,1,0,3,82.184,27.88,0.68,89.276,31.82,0.6364,74,6.835950919,63,89,152
5832,9/5/11,3,0,9,10,1,1,0,2,83.66,28.7,0.7,90.635,32.575,0.6515,70,6.835950919,107,137,244
5833,9/5/11,3,0,9,11,1,1,0,2,83.66,28.7,0.7,92.003,33.335,0.6667,74,6.835950919,101,207,308
5834,9/5/11,3,0,9,12,1,1,0,2,85.136,29.52,0.72,93.362,34.09,0.6818,70,8.076580258,141,212,353
5835,9/5/11,3,0,9,13,1,1,0,2,86.612,30.34,0.74,94.73,34.85,0.697,70,5.591158395,154,235,389
5836,9/5/11,3,0,9,14,1,1,0,1,86.612,30.34,0.74,94.73,34.85,0.697,70,6.835950919,145,212,357
5837,9/5/11,3,0,9,15,1,1,0,2,82.184,27.88,0.68,89.276,31.82,0.6364,79,11.80679465,111,142,253
5838,9/5/11,3,0,9,16,1,1,0,2,82.184,27.88,0.68,89.276,31.82,0.6364,79,11.80679465,92,192,284
5839,9/5/11,3,0,9,17,1,1,0,2,80.708,27.06,0.66,85.181,29.545,0.5909,89,4.350529057,37,77,114
5840,9/5/11,3,0,9,18,1,1,0,1,80.708,27.06,0.66,85.181,29.545,0.5909,89,3.730214387,31,92,123
5841,9/5/11,3,0,9,19,1,1,0,3,80.708,27.06,0.66,85.181,29.545,0.5909,94,4.350529057,52,123,175
5842,9/5/11,3,0,9,20,1,1,0,3,80.708,27.06,0.66,85.181,29.545,0.5909,94,10.56200212,26,56,82
5843,9/5/11,3,0,9,21,1,1,0,2,80.708,27.06,0.66,85.181,29.545,0.5909,94,12.42710931,20,40,60
5844,9/5/11,3,0,9,22,1,1,0,2,76.28,24.6,0.6,81.095,27.275,0.5455,88,24.23390396,15,49,64
5845,9/5/11,3,0,9,23,1,1,0,3,73.328,22.96,0.56,79.727,26.515,0.5303,88,16.1573237,3,17,20
5846,9/6/11,3,0,9,0,0,2,1,3,71.852,22.14,0.54,78.368,25.76,0.5152,94,14.91253118,1,7,8
5847,9/6/11,3,0,9,2,0,2,1,3,71.852,22.14,0.54,78.368,25.76,0.5152,94,10.56200212,0,2,2
5848,9/6/11,3,0,9,3,0,2,1,3,71.852,22.14,0.54,78.368,25.76,0.5152,94,12.42710931,1,0,1
5849,9/6/11,3,0,9,4,0,2,1,2,71.852,22.14,0.54,78.368,25.76,0.5152,94,12.42710931,1,3,4
5850,9/6/11,3,0,9,5,0,2,1,3,71.852,22.14,0.54,78.368,25.76,0.5152,88,14.91253118,1,20,21
5851,9/6/11,3,0,9,6,0,2,1,2,71.852,22.14,0.54,78.368,25.76,0.5152,88,13.67190184,0,72,72
5852,9/6/11,3,0,9,7,0,2,1,2,71.852,22.14,0.54,78.368,25.76,0.5152,83,14.91253118,6,166,172
5853,9/6/11,3,0,9,8,0,2,1,3,71.852,22.14,0.54,78.368,25.76,0.5152,83,16.1573237,15,349,364
5854,9/6/11,3,0,9,9,0,2,1,2,71.852,22.14,0.54,78.368,25.76,0.5152,81,17.39795304,18,167,185
5855,9/6/11,3,0,9,10,0,2,1,3,71.852,22.14,0.54,78.368,25.76,0.5152,83,14.91253118,16,90,106
5856,9/6/11,3,0,9,11,0,2,1,3,71.852,22.14,0.54,78.368,25.76,0.5152,83,16.1573237,11,78,89
5857,9/6/11,3,0,9,12,0,2,1,3,71.852,22.14,0.54,78.368,25.76,0.5152,83,16.1573237,16,51,67
5858,9/6/11,3,0,9,13,0,2,1,3,71.852,22.14,0.54,78.368,25.76,0.5152,88,12.42710931,5,24,29
5859,9/6/11,3,0,9,14,0,2,1,3,71.852,22.14,0.54,78.368,25.76,0.5152,88,11.80679465,3,21,24
5860,9/6/11,3,0,9,15,0,2,1,3,71.852,22.14,0.54,78.368,25.76,0.5152,94,16.1573237,18,71,89
5861,9/6/11,3,0,9,16,0,2,1,3,71.852,22.14,0.54,78.368,25.76,0.5152,94,16.1573237,11,95,106
5862,9/6/11,3,0,9,17,0,2,1,2,71.852,22.14,0.54,78.368,25.76,0.5152,88,16.1573237,15,276,291
5863,9/6/11,3,0,9,18,0,2,1,2,71.852,22.14,0.54,78.368,25.76,0.5152,88,16.1573237,22,351,373
5864,9/6/11,3,0,9,19,0,2,1,2,71.852,22.14,0.54,78.368,25.76,0.5152,88,17.39795304,12,269,281
5865,9/6/11,3,0,9,20,0,2,1,3,71.852,22.14,0.54,78.368,25.76,0.5152,88,12.42710931,13,150,163
5866,9/6/11,3,0,9,21,0,2,1,3,71.852,22.14,0.54,78.368,25.76,0.5152,88,11.80679465,12,109,121
5867,9/6/11,3,0,9,22,0,2,1,2,71.852,22.14,0.54,78.368,25.76,0.5152,94,13.67190184,5,79,84
5868,9/6/11,3,0,9,23,0,2,1,3,71.852,22.14,0.54,78.368,25.76,0.5152,94,10.56200212,2,56,58
